"subject" "activities" "variable" "average"
1 "sit" "fBodyGyro-mean()-Z" -0.952183826595745
1 "sit" "fBodyAccMag-mean()" -0.947733503829787
1 "sit" "fBodyBodyAccJerkMag-mean()" -0.985197574468085
1 "sit" "fBodyBodyGyroMag-mean()" -0.959538273617021
1 "sit" "fBodyBodyGyroJerkMag-mean()" -0.990008704893617
1 "sit" "tBodyAcc-std()-X" -0.977413138085106
1 "sit" "tBodyAcc-std()-Y" -0.923870443617021
1 "sit" "tBodyAcc-std()-Z" -0.939588513617021
1 "sit" "tGravityAcc-std()-X" -0.968505294468085
1 "sit" "tGravityAcc-std()-Y" -0.936074299787234
1 "sit" "tGravityAcc-std()-Z" -0.948992114468085
1 "sit" "tBodyAccJerk-std()-X" -0.986735316170213
1 "sit" "tBodyAccJerk-std()-Y" -0.981205579361702
1 "sit" "tBodyAccJerk-std()-Z" -0.987724222340426
1 "sit" "tBodyGyro-std()-X" -0.976960076382979
1 "sit" "tBodyGyro-std()-Y" -0.967044695106383
1 "sit" "tBodyGyro-std()-Z" -0.942260506595745
1 "sit" "tBodyGyroJerk-std()-X" -0.991597160212766
1 "sit" "tBodyGyroJerk-std()-Y" -0.989725868723404
1 "sit" "tBodyGyroJerk-std()-Z" -0.988081778723404
1 "sit" "tBodyAccMag-std()" -0.927211373404255
1 "sit" "tGravityAccMag-std()" -0.927211373404255
1 "sit" "tBodyAccJerkMag-std()" -0.984102004680851
1 "sit" "tBodyGyroMag-std()" -0.935451468085106
1 "sit" "tBodyGyroJerkMag-std()" -0.988603479787234
1 "sit" "fBodyAcc-std()-X" -0.976524753404255
1 "sit" "fBodyAcc-std()-Y" -0.918856925319149
1 "sit" "fBodyAcc-std()-Z" -0.93453759893617
1 "sit" "fBodyAccJerk-std()-X" -0.987735153404255
1 "sit" "fBodyAccJerk-std()-Y" -0.982385820638298
1 "sit" "fBodyAccJerk-std()-Z" -0.988085932553191
1 "sit" "fBodyGyro-std()-X" -0.977611136170213
1 "sit" "fBodyGyro-std()-Y" -0.962707720851064
1 "sit" "fBodyGyro-std()-Z" -0.944663690212766
1 "sit" "fBodyAccMag-std()" -0.928706720638298
1 "sit" "fBodyBodyAccJerkMag-std()" -0.981651716808511
1 "sit" "fBodyBodyGyroMag-std()" -0.932794364042553
1 "sit" "fBodyBodyGyroJerkMag-std()" -0.98745329
1 "stand" "tBodyAcc-mean()-X" 0.274651698461538
1 "stand" "tBodyAcc-mean()-Y" -0.0169968790480769
1 "stand" "tBodyAcc-mean()-Z" -0.111557200576923
1 "stand" "tGravityAcc-mean()-X" 0.940637138269231
1 "stand" "tGravityAcc-mean()-Y" -0.273305304423077
1 "stand" "tGravityAcc-mean()-Z" 0.00934952742307692
1 "stand" "tBodyAccJerk-mean()-X" 0.0640641235576923
1 "stand" "tBodyAccJerk-mean()-Y" 0.0187780846961538
1 "stand" "tBodyAccJerk-mean()-Z" 5.52602577692307e-05
1 "stand" "tBodyGyro-mean()-X" -0.0387762442555769
1 "stand" "tBodyGyro-mean()-Y" -0.0505685827692308
1 "stand" "tBodyGyro-mean()-Z" 0.0788172108269231
1 "stand" "tBodyGyroJerk-mean()-X" -0.0926325566346154
1 "stand" "tBodyGyroJerk-mean()-Y" -0.0416674877884615
1 "stand" "tBodyGyroJerk-mean()-Z" -0.0495095946076923
1 "stand" "tBodyAccMag-mean()" -0.938076760576923
1 "stand" "tGravityAccMag-mean()" -0.938076760576923
1 "stand" "tBodyAccJerkMag-mean()" -0.963314770961539
1 "stand" "tBodyGyroMag-mean()" -0.933715936538462
1 "stand" "tBodyGyroJerkMag-mean()" -0.975744728076923
1 "stand" "fBodyAcc-mean()-X" -0.958375531153846
1 "stand" "fBodyAcc-mean()-Y" -0.935686003653846
1 "stand" "fBodyAcc-mean()-Z" -0.950714631538462
1 "stand" "fBodyAccJerk-mean()-X" -0.964093834230769
1 "stand" "fBodyAccJerk-mean()-Y" -0.956501564038462
1 "stand" "fBodyAccJerk-mean()-Z" -0.968443195192308
1 "stand" "fBodyGyro-mean()-X" -0.962748745192308
1 "stand" "fBodyGyro-mean()-Y" -0.957964463076923
1 "stand" "fBodyGyro-mean()-Z" -0.950943649807692
1 "stand" "fBodyAccMag-mean()" -0.944245649230769
1 "stand" "fBodyBodyAccJerkMag-mean()" -0.956595706730769
1 "stand" "fBodyBodyGyroMag-mean()" -0.956091456923077
1 "stand" "fBodyBodyGyroJerkMag-mean()" -0.975705198653846
1 "stand" "tBodyAcc-std()-X" -0.958006853653846
1 "stand" "tBodyAcc-std()-Y" -0.925525633076923
1 "stand" "tBodyAcc-std()-Z" -0.926824483884615
1 "stand" "tGravityAcc-std()-X" -0.992485901923077
1 "stand" "tGravityAcc-std()-Y" -0.980087481153846
1 "stand" "tGravityAcc-std()-Z" -0.972228903269231
1 "stand" "tBodyAccJerk-std()-X" -0.962695903846154
1 "stand" "tBodyAccJerk-std()-Y" -0.954192511538462
1 "stand" "tBodyAccJerk-std()-Z" -0.971753075576923
1 "stand" "tBodyGyro-std()-X" -0.968918203846154
1 "stand" "tBodyGyro-std()-Y" -0.941719097173077
1 "stand" "tBodyGyro-std()-Z" -0.951383870192308
1 "stand" "tBodyGyroJerk-std()-X" -0.974232073076923
1 "stand" "tBodyGyroJerk-std()-Y" -0.975795591153846
1 "stand" "tBodyGyroJerk-std()-Z" -0.970094137884615
1 "stand" "tBodyAccMag-std()" -0.940104811153846
1 "stand" "tGravityAccMag-std()" -0.940104811153846
1 "stand" "tBodyAccJerkMag-std()" -0.957983138076923
1 "stand" "tBodyGyroMag-std()" -0.944135695576923
1 "stand" "tBodyGyroJerkMag-std()" -0.975228624615385
1 "stand" "fBodyAcc-std()-X" -0.958096630384615
1 "stand" "fBodyAcc-std()-Y" -0.924699943461538
1 "stand" "fBodyAcc-std()-Z" -0.921141544115385
1 "stand" "fBodyAccJerk-std()-X" -0.964634403653846
1 "stand" "fBodyAccJerk-std()-Y" -0.954889777115385
1 "stand" "fBodyAccJerk-std()-Z" -0.973640901923077
1 "stand" "fBodyGyro-std()-X" -0.971000965769231
1 "stand" "fBodyGyro-std()-Y" -0.934646338269231
1 "stand" "fBodyGyro-std()-Z" -0.956236240769231
1 "stand" "fBodyAccMag-std()" -0.946673546346154
1 "stand" "fBodyBodyAccJerkMag-std()" -0.958771094038462
1 "stand" "fBodyBodyGyroMag-std()" -0.946009508461538
1 "stand" "fBodyBodyGyroJerkMag-std()" -0.976022102884615
1 "walk" "tBodyAcc-mean()-X" 0.278457915789474
1 "walk" "tBodyAcc-mean()-Y" -0.01718470674
1 "walk" "tBodyAcc-mean()-Z" -0.114505791957895
1 "walk" "tGravityAcc-mean()-X" 0.873738587263158
1 "walk" "tGravityAcc-mean()-Y" -0.251911460863158
1 "walk" "tGravityAcc-mean()-Z" -0.0502304907789474
1 "walk" "tBodyAccJerk-mean()-X" 0.0727040624421053
1 "walk" "tBodyAccJerk-mean()-Y" 0.0178994359473684
1 "walk" "tBodyAccJerk-mean()-Z" -0.00685755030768421
1 "walk" "tBodyGyro-mean()-X" -0.0418515624007368
1 "walk" "tBodyGyro-mean()-Y" -0.070942008731579
1 "walk" "tBodyGyro-mean()-Z" 0.0838107626621053
1 "walk" "tBodyGyroJerk-mean()-X" -0.0903490841178947
1 "walk" "tBodyGyroJerk-mean()-Y" -0.03412242602
1 "walk" "tBodyGyroJerk-mean()-Z" -0.0473147484073684
1 "walk" "tBodyAccMag-mean()" -0.16730712382
1 "walk" "tGravityAccMag-mean()" -0.16730712382
1 "walk" "tBodyAccJerkMag-mean()" -0.175257704610526
1 "walk" "tBodyGyroMag-mean()" -0.194420920642105
1 "walk" "tBodyGyroJerkMag-mean()" -0.327351621505263
1 "walk" "fBodyAcc-mean()-X" -0.234334474010526
1 "walk" "fBodyAcc-mean()-Y" 0.0480097097178947
1 "walk" "fBodyAcc-mean()-Z" -0.355993802105263
1 "walk" "fBodyAccJerk-mean()-X" -0.203531929918
1 "walk" "fBodyAccJerk-mean()-Y" -0.0716725632709579
1 "walk" "fBodyAccJerk-mean()-Z" -0.488817095789474
1 "walk" "fBodyGyro-mean()-X" -0.366480258589474
1 "walk" "fBodyGyro-mean()-Y" -0.140694050118947
1 "walk" "fBodyGyro-mean()-Z" -0.287353057052632
1 "walk" "fBodyAccMag-mean()" -0.160089524313684
1 "walk" "fBodyBodyAccJerkMag-mean()" -0.0929788599185263
1 "walk" "fBodyBodyGyroMag-mean()" -0.233421991196842
1 "walk" "fBodyBodyGyroJerkMag-mean()" -0.346347560515789
1 "walk" "tBodyAcc-std()-X" -0.310541750421053
1 "walk" "tBodyAcc-std()-Y" 0.0724155535157895
1 "walk" "tBodyAcc-std()-Z" -0.284488712631579
1 "walk" "tGravityAcc-std()-X" -0.975471814736842
1 "walk" "tGravityAcc-std()-Y" -0.971000751157895
1 "walk" "tGravityAcc-std()-Z" -0.943525983263158
1 "walk" "tBodyAccJerk-std()-X" -0.148768218225263
1 "walk" "tBodyAccJerk-std()-Y" 0.0256614911578947
1 "walk" "tBodyAccJerk-std()-Z" -0.521609543052632
1 "walk" "tBodyGyro-std()-X" -0.494504964105263
1 "walk" "tBodyGyro-std()-Y" -0.0944332078594737
1 "walk" "tBodyGyro-std()-Z" -0.371074489578947
1 "walk" "tBodyGyroJerk-std()-X" -0.239052028336842
1 "walk" "tBodyGyroJerk-std()-Y" -0.333158800631579
1 "walk" "tBodyGyroJerk-std()-Z" -0.427931524526316
1 "walk" "tBodyAccMag-std()" -0.246139403105263
1 "walk" "tGravityAccMag-std()" -0.246139403105263
1 "walk" "tBodyAccJerkMag-std()" -0.109987317799368
1 "walk" "tBodyGyroMag-std()" -0.220401401368421
1 "walk" "tBodyGyroJerkMag-std()" -0.352406983315789
1 "walk" "fBodyAcc-std()-X" -0.343890786421053
1 "walk" "fBodyAcc-std()-Y" 0.0164956498207368
1 "walk" "fBodyAcc-std()-Z" -0.302602229494737
1 "walk" "fBodyAccJerk-std()-X" -0.167908259589474
1 "walk" "fBodyAccJerk-std()-Y" 0.0628796622938947
1 "walk" "fBodyAccJerk-std()-Z" -0.552754922736842
1 "walk" "fBodyGyro-std()-X" -0.535646693473684
1 "walk" "fBodyGyro-std()-Y" -0.0743190510410526
1 "walk" "fBodyGyro-std()-Z" -0.459254616631579
1 "walk" "fBodyAccMag-std()" -0.417814379789474
1 "walk" "fBodyBodyAccJerkMag-std()" -0.138266122138947
1 "walk" "fBodyBodyGyroMag-std()" -0.348134704105263
1 "walk" "fBodyBodyGyroJerkMag-std()" -0.406801309368421
1 "walkdownstairs" "tBodyAcc-mean()-X" 0.289053846734694
1 "walkdownstairs" "tBodyAcc-mean()-Y" -0.014494097555102
1 "walkdownstairs" "tBodyAcc-mean()-Z" -0.106155613663265
1 "walkdownstairs" "tGravityAcc-mean()-X" 0.930050496326531
1 "walkdownstairs" "tGravityAcc-mean()-Y" -0.271985303469388
1 "walkdownstairs" "tGravityAcc-mean()-Z" -0.0635916185734694
1 "walkdownstairs" "tBodyAccJerk-mean()-X" 0.0724833656734694
1 "walkdownstairs" "tBodyAccJerk-mean()-Y" 0.0451046724285714
1 "walkdownstairs" "tBodyAccJerk-mean()-Z" 0.0054599869
1 "walkdownstairs" "tBodyGyro-mean()-X" -0.0929516243622449
1 "walkdownstairs" "tBodyGyro-mean()-Y" -0.0348533167265306
1 "walkdownstairs" "tBodyGyro-mean()-Z" 0.0945140195418367
1 "walkdownstairs" "tBodyGyroJerk-mean()-X" -0.0831672870965306
1 "walkdownstairs" "tBodyGyroJerk-mean()-Y" -0.058365981244898
1 "walkdownstairs" "tBodyGyroJerk-mean()-Z" -0.0367308747795918
1 "walkdownstairs" "tBodyAccMag-mean()" 0.00614165350244898
1 "walkdownstairs" "tGravityAccMag-mean()" 0.00614165350244898
1 "walkdownstairs" "tBodyAccJerkMag-mean()" -0.109010890512245
1 "walkdownstairs" "tBodyGyroMag-mean()" -0.0783662951020408
1 "walkdownstairs" "tBodyGyroJerkMag-mean()" -0.303088414367347
1 "walkdownstairs" "fBodyAcc-mean()-X" -0.00222920273265306
1 "walkdownstairs" "fBodyAcc-mean()-Y" 0.015003280795102
1 "walkdownstairs" "fBodyAcc-mean()-Z" -0.246027224306122
1 "walkdownstairs" "fBodyAccJerk-mean()-X" -0.0571547582244898
1 "walkdownstairs" "fBodyAccJerk-mean()-Y" -0.118724334587755
1 "walkdownstairs" "fBodyAccJerk-mean()-Z" -0.32666507755102
1 "walkdownstairs" "fBodyGyro-mean()-X" -0.341528845036735
1 "walkdownstairs" "fBodyGyro-mean()-Y" -0.0618257911632653
1 "walkdownstairs" "fBodyGyro-mean()-Z" -0.0609444090755102
1 "walkdownstairs" "fBodyAccMag-mean()" 0.0670034449571429
1 "walkdownstairs" "fBodyBodyAccJerkMag-mean()" -0.000145211230612244
1 "walkdownstairs" "fBodyBodyGyroMag-mean()" -0.174473119622449
1 "walkdownstairs" "fBodyBodyGyroJerkMag-mean()" -0.294618419177551
1 "walkdownstairs" "tBodyAcc-std()-X" -0.0135609121122449
1 "walkdownstairs" "tBodyAcc-std()-Y" -0.00706809951020408
1 "walkdownstairs" "tBodyAcc-std()-Z" -0.221978904222449
1 "walkdownstairs" "tGravityAcc-std()-X" -0.954430571836735
1 "walkdownstairs" "tGravityAcc-std()-Y" -0.942083746122449
1 "walkdownstairs" "tGravityAcc-std()-Z" -0.901830220612245
1 "walkdownstairs" "tBodyAccJerk-std()-X" -0.0377737387612245
1 "walkdownstairs" "tBodyAccJerk-std()-Y" -0.0840738562938775
1 "walkdownstairs" "tBodyAccJerk-std()-Z" -0.38018155477551
1 "walkdownstairs" "tBodyGyro-std()-X" -0.446499955183673
1 "walkdownstairs" "tBodyGyro-std()-Y" -0.105617351408163
1 "walkdownstairs" "tBodyGyro-std()-Z" -0.155632292916327
1 "walkdownstairs" "tBodyGyroJerk-std()-X" -0.461298551836735
1 "walkdownstairs" "tBodyGyroJerk-std()-Y" -0.25254130977551
1 "walkdownstairs" "tBodyGyroJerk-std()-Z" -0.293549131671429
1 "walkdownstairs" "tBodyAccMag-std()" -0.00527632057142857
1 "walkdownstairs" "tGravityAccMag-std()" -0.00527632057142857
1 "walkdownstairs" "tBodyAccJerkMag-std()" -0.0421775640755102
1 "walkdownstairs" "tBodyGyroMag-std()" -0.201075966020408
1 "walkdownstairs" "tBodyGyroJerkMag-std()" -0.315200612877551
1 "walkdownstairs" "fBodyAcc-std()-X" -0.0209781816428571
1 "walkdownstairs" "fBodyAcc-std()-Y" -0.0837463206673469
1 "walkdownstairs" "fBodyAcc-std()-Z" -0.276050741428571
1 "walkdownstairs" "fBodyAccJerk-std()-X" -0.105030415436122
1 "walkdownstairs" "fBodyAccJerk-std()-Y" -0.109945651530612
1 "walkdownstairs" "fBodyAccJerk-std()-Z" -0.432296728367347
1 "walkdownstairs" "fBodyGyro-std()-X" -0.483577840795918
1 "walkdownstairs" "fBodyGyro-std()-Y" -0.147044001942857
1 "walkdownstairs" "fBodyGyro-std()-Z" -0.267358177142857
1 "walkdownstairs" "fBodyAccMag-std()" -0.205229725155102
1 "walkdownstairs" "fBodyBodyAccJerkMag-std()" -0.105703907665306
1 "walkdownstairs" "fBodyBodyGyroMag-std()" -0.367285690122449
1 "walkdownstairs" "fBodyBodyGyroJerkMag-std()" -0.394137156408163
1 "walkupstairs" "tBodyAcc-mean()-X" 0.25099964
1 "walkupstairs" "tBodyAcc-mean()-Y" -0.0207830356926415
1 "walkupstairs" "tBodyAcc-mean()-Z" -0.0962426133018868
1 "walkupstairs" "tGravityAcc-mean()-X" 0.897261036037736
1 "walkupstairs" "tGravityAcc-mean()-Y" -0.354354572830189
1 "walkupstairs" "tGravityAcc-mean()-Z" -0.0750434823396226
1 "walkupstairs" "tBodyAccJerk-mean()-X" 0.119591742281132
1 "walkupstairs" "tBodyAccJerk-mean()-Y" 0.0184215230150943
1 "walkupstairs" "tBodyAccJerk-mean()-Z" -0.0604050020056604
1 "walkupstairs" "tBodyGyro-mean()-X" 0.102330676358491
1 "walkupstairs" "tBodyGyro-mean()-Y" -0.211182936975472
1 "walkupstairs" "tBodyGyro-mean()-Z" 0.0537334399716981
1 "walkupstairs" "tBodyGyroJerk-mean()-X" -0.122200671841509
1 "walkupstairs" "tBodyGyroJerk-mean()-Y" -0.0323867075075472
1 "walkupstairs" "tBodyGyroJerk-mean()-Z" -0.0359171584635849
1 "walkupstairs" "tBodyAccMag-mean()" -0.118035763471698
1 "walkupstairs" "tGravityAccMag-mean()" -0.118035763471698
1 "walkupstairs" "tBodyAccJerkMag-mean()" -0.439342523660377
1 "walkupstairs" "tBodyGyroMag-mean()" -0.125796670535849
1 "walkupstairs" "tBodyGyroJerkMag-mean()" -0.574939524150943
1 "walkupstairs" "fBodyAcc-mean()-X" -0.374330144377359
1 "walkupstairs" "fBodyAcc-mean()-Y" -0.184692010433962
1 "walkupstairs" "fBodyAcc-mean()-Z" -0.419599967735849
1 "walkupstairs" "fBodyAccJerk-mean()-X" -0.451372125056604
1 "walkupstairs" "fBodyAccJerk-mean()-Y" -0.403793309622642
1 "walkupstairs" "fBodyAccJerk-mean()-Z" -0.656312189622641
1 "walkupstairs" "fBodyGyro-mean()-X" -0.485411636415094
1 "walkupstairs" "fBodyGyro-mean()-Y" -0.301589541075472
1 "walkupstairs" "fBodyGyro-mean()-Z" -0.424297613867925
1 "walkupstairs" "fBodyAccMag-mean()" -0.331007272622642
1 "walkupstairs" "fBodyBodyAccJerkMag-mean()" -0.420269784320755
1 "walkupstairs" "fBodyBodyGyroMag-mean()" -0.321369522867925
1 "walkupstairs" "fBodyBodyGyroJerkMag-mean()" -0.614137489245283
1 "walkupstairs" "tBodyAcc-std()-X" -0.327312026111868
1 "walkupstairs" "tBodyAcc-std()-Y" -0.00772440154528302
1 "walkupstairs" "tBodyAcc-std()-Z" -0.0411596965471698
1 "walkupstairs" "tGravityAcc-std()-X" -0.954097848679245
1 "walkupstairs" "tGravityAcc-std()-Y" -0.94925726754717
1 "walkupstairs" "tGravityAcc-std()-Z" -0.912146176226415
1 "walkupstairs" "tBodyAccJerk-std()-X" -0.418989600226415
1 "walkupstairs" "tBodyAccJerk-std()-Y" -0.369285205283019
1 "walkupstairs" "tBodyAccJerk-std()-Z" -0.679633629622642
1 "walkupstairs" "tBodyGyro-std()-X" -0.540024232264151
1 "walkupstairs" "tBodyGyro-std()-Y" -0.0113402604660377
1 "walkupstairs" "tBodyGyro-std()-Z" -0.478618633811321
1 "walkupstairs" "tBodyGyroJerk-std()-X" -0.610200601886792
1 "walkupstairs" "tBodyGyroJerk-std()-Y" -0.578638833584906
1 "walkupstairs" "tBodyGyroJerk-std()-Z" -0.584875666037736
1 "walkupstairs" "tBodyAccMag-std()" -0.310160568062264
1 "walkupstairs" "tGravityAccMag-std()" -0.310160568062264
1 "walkupstairs" "tBodyAccJerkMag-std()" -0.462013237056604
1 "walkupstairs" "tBodyGyroMag-std()" -0.15805780050566
1 "walkupstairs" "tBodyGyroJerkMag-std()" -0.630843339245283
1 "walkupstairs" "fBodyAcc-std()-X" -0.310785012220755
1 "walkupstairs" "fBodyAcc-std()-Y" 0.0107482680603774
1 "walkupstairs" "fBodyAcc-std()-Z" 0.050673037290566
1 "walkupstairs" "fBodyAccJerk-std()-X" -0.437270300113208
1 "walkupstairs" "fBodyAccJerk-std()-Y" -0.374136169056604
1 "walkupstairs" "fBodyAccJerk-std()-Z" -0.701256207169811
1 "walkupstairs" "fBodyGyro-std()-X" -0.561841879056604
1 "walkupstairs" "fBodyGyro-std()-Y" 0.120583000471698
1 "walkupstairs" "fBodyGyro-std()-Z" -0.545916609622642
1 "walkupstairs" "fBodyAccMag-std()" -0.40757785490566
1 "walkupstairs" "fBodyBodyAccJerkMag-std()" -0.524253174150943
1 "walkupstairs" "fBodyBodyGyroMag-std()" -0.200588931849057
1 "walkupstairs" "fBodyBodyGyroJerkMag-std()" -0.681676765283019
2 "lay" "tBodyAcc-mean()-X" 0.281423202916667
2 "lay" "tBodyAcc-mean()-Y" -0.0182639728833333
2 "lay" "tBodyAcc-mean()-Z" -0.1068497405625
2 "lay" "tGravityAcc-mean()-X" -0.45233863
2 "lay" "tGravityAcc-mean()-Y" 0.714105004791667
2 "lay" "tGravityAcc-mean()-Z" 0.627374721354167
2 "lay" "tBodyAccJerk-mean()-X" 0.0824288291666667
2 "lay" "tBodyAccJerk-mean()-Y" 0.011821793889375
2 "lay" "tBodyAccJerk-mean()-Z" -0.00191892615
2 "lay" "tBodyGyro-mean()-X" -0.018464906125
2 "lay" "tBodyGyro-mean()-Y" -0.111740596645833
2 "lay" "tBodyGyro-mean()-Z" 0.1453383838125
2 "lay" "tBodyGyroJerk-mean()-X" -0.1018082489375
2 "lay" "tBodyGyroJerk-mean()-Y" -0.0357563434625
2 "lay" "tBodyGyroJerk-mean()-Z" -0.0705127040625
2 "lay" "tBodyAccMag-mean()" -0.977518942083333
2 "lay" "tGravityAccMag-mean()" -0.977518942083333
2 "lay" "tBodyAccJerkMag-mean()" -0.9877192175
2 "lay" "tBodyGyroMag-mean()" -0.949919793541667
2 "lay" "tBodyGyroJerkMag-mean()" -0.991726765
2 "lay" "fBodyAcc-mean()-X" -0.977153414791667
2 "lay" "fBodyAcc-mean()-Y" -0.979457634375
2 "lay" "fBodyAcc-mean()-Z" -0.984124951666667
2 "lay" "fBodyAccJerk-mean()-X" -0.985893895833333
2 "lay" "fBodyAccJerk-mean()-Y" -0.982591478541667
2 "lay" "fBodyAccJerk-mean()-Z" -0.98626614625
2 "lay" "fBodyGyro-mean()-X" -0.986322746458333
2 "lay" "fBodyGyro-mean()-Y" -0.983792738333333
2 "lay" "fBodyGyro-mean()-Z" -0.96247888
2 "lay" "fBodyAccMag-mean()" -0.975055013333333
2 "lay" "fBodyBodyAccJerkMag-mean()" -0.985382856458333
2 "lay" "fBodyBodyGyroMag-mean()" -0.972829082708333
2 "lay" "fBodyBodyGyroJerkMag-mean()" -0.990581217083333
